gene,IMR-90_NPC_siNC_1,IMR-90_NPC_siNC_2,IMR-90_NPC_siNC_3,IMR-90_NPC_siNC_4,IMR-90_NPC_siNC_5,IMR-90_NPC_siNC_6,IMR-90_NPC_siZCC_1,IMR-90_NPC_siZCC_2,IMR-90_NPC_siZCC_3,IMR-90_NPC_siZCC_4,IMR-90_NPC_siZCC_5,IMR-90_NPC_siZCC_6
DDX11L1,1,0,0,0,3,2,0,0,3,1,1,1
WASH7P,1162,1290,1407,1012,1359,1174,950,1143,1061,757,1032,1075
MIR6859-1,102,108,118,107,83,96,83,89,90,64,90,71
MIR1302-2HG,13,18,18,16,33,14,18,18,14,13,20,9
MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,2,0,0,0,2,0,0,1,0,0,0,0
OR4G4P,0,0,0,0,1,0,0,8,0,0,0,0
OR4G11P,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,1,0,0,0,0,0,0,0,0,0,0
AL627309.1,55,46,65,39,59,62,38,31,42,37,51,45
AL627309.3,0,0,0,0,0,0,0,0,0,0,0,0
CICP27,0,0,0,0,0,1,0,0,2,0,0,0
AL627309.6,640,824,782,583,680,710,589,528,562,461,457,563
AL627309.7,553,584,721,536,541,598,400,497,430,380,381,471
AL627309.2,38,53,44,38,47,36,31,33,30,28,36,34
AL627309.5,71,84,63,49,102,90,58,65,84,53,71,49
RNU6-1100P,2,2,1,3,3,1,4,10,1,0,1,3
AL627309.4,0,0,0,0,0,0,0,0,0,0,0,0
FO538757.1,1,0,0,0,0,0,0,0,0,3,0,0
WASH9P,1481,1667,1747,1398,1583,1467,1211,1460,1274,1000,1122,1300
MIR6859-2,2,0,3,2,2,0,1,0,0,1,0,1
AP006222.1,375,384,334,312,413,359,286,360,298,245,260,307
AP006222.2,0,0,4,0,0,0,0,1,0,0,2,0
RPL23AP24,7,6,1,6,8,10,5,7,15,4,9,7
AL732372.1,0,1,0,0,0,0,0,0,0,0,0,0
AL732372.2,247,299,281,192,298,274,241,275,251,159,185,192
WBP1LP7,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0
CICP7,0,0,0,0,0,0,0,0,0,0,0,0
AL732372.3,37,74,45,24,62,47,32,63,14,38,30,57
U6,43,40,50,42,40,37,21,36,29,17,18,29
AL669831.3,183,179,219,136,168,192,204,129,154,148,135,135
AC114498.1,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P23,430,580,568,499,655,526,472,505,423,461,465,488
MTND2P28,1315,1295,1538,1212,1466,1334,1080,1321,1054,1003,1154,1187
MTCO1P12,9876,10997,10144,9381,11743,10143,9694,10892,9228,8905,9872,11308
AC114498.2,16,21,22,20,18,21,35,11,17,14,12,18
MTCO2P12,3270,3884,3599,3279,4073,3468,3455,3716,3293,3483,3175,3338
MTATP8P1,33,38,35,41,38,30,25,31,17,26,36,32
MTATP6P1,17281,21354,19868,17524,21010,18428,15463,18102,15087,15209,13885,15126
MTCO3P12,2176,2638,2116,1927,2623,2409,2087,2335,1872,2061,1980,2258
WBP1LP6,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0
CICP3,0,0,0,0,0,0,0,0,1,1,0,1
AL669831.1,1223,1465,1302,1200,1205,1304,825,1157,995,777,880,946
RNU6-1199P,0,1,0,0,5,0,0,3,1,1,0,2
AL669831.2,0,0,0,0,0,1,0,0,0,0,0,0
LINC01409,478,482,401,364,580,550,413,521,425,337,402,412
AL669831.6,0,0,0,0,0,0,0,0,0,0,0,0
AL669831.4,63,72,46,37,79,50,32,38,50,39,44,53
FAM87B,5,6,8,14,12,13,10,3,5,4,4,12
LINC01128,3362,3587,3460,2901,3929,3647,2386,2942,2360,2033,2349,2429
LINC00115,249,281,227,217,266,221,201,211,194,191,178,181
AL669831.7,54,67,57,35,54,64,36,36,37,21,31,37
FAM41C,6,18,2,11,14,9,2,8,6,7,7,10
TUBB8P11,0,2,2,0,2,0,2,2,0,0,3,3
AL669831.5,1,1,0,2,0,0,0,0,0,0,0,0
AL645608.6,155,201,232,124,212,159,138,149,116,137,154,125
AL645608.2,512,647,588,469,595,510,394,473,420,345,432,425
AL645608.4,13,10,23,17,14,9,14,15,8,9,14,13
LINC02593,542,679,663,476,648,607,388,470,367,337,397,417
SAMD11,1441,1607,1882,1398,1720,1668,1137,1215,998,944,1037,929
NOC2L,10476,11579,11599,8998,11192,10702,8021,9588,8312,7108,8135,8493
KLHL17,2747,2908,3069,2656,2682,2864,2330,2470,2440,2054,2137,2200
PLEKHN1,21,19,35,30,31,38,18,25,29,22,25,20
PERM1,31,28,20,24,33,33,23,25,23,15,16,20
AL645608.7,449,543,541,391,517,427,390,434,411,341,418,408
HES4,6251,8390,9126,7278,10353,8523,8516,10192,9153,6672,7303,6970
ISG15,3799,4231,4557,3046,5568,4523,3127,3172,2926,2715,2658,3083
AL645608.3,4,19,7,10,15,8,18,5,9,5,9,11
AL645608.1,7,7,2,2,12,13,9,8,10,5,3,13
